country_code,country_name,population,continent,gni_total,top10_share,deaths_violence,trust,gni_per_capita
UGA,Uganda,38225000.0,Africa,31726750000.0,32.9,0.6546862252199231,,830.0
UKR,Ukraine,44922000.0,Europe,121289400000.0,21.6,0.6528860835239056,23.71274,2700.0
URY,Uruguay,3412000.0,South America,53363680000.0,30.8,0.6259031239961544,14.43515,15640.0
USA,United States,320878016.0,North America,18209827408000.0,30.2,0.6956518330612376,38.17277,56750.0
UZB,Uzbekistan,30930000.0,Asia,80418000000.0,,0.4013683178658033,13.92236,2600.0
VCT,St. Vincent and the Grenadines,109000.0,North America,715040000.0,,2.3561493483918468,,6560.0
VGB,British Virgin Islands,29000.0,North America,,,,,
VIR,Virgin Islands (U.S.),105000.0,North America,,,2.4730882430120382,,
VNM,Vietnam,92677000.0,Asia,182573690000.0,26.8,0.2496585185328456,,1970.0
VUT,Vanuatu,271000.0,Oceania,788610000.0,29.1,0.2137216980329336,,2910.0
WSM,Samoa,194000.0,Oceania,768240000.0,,0.5653384846429599,,3960.0
ZAF,South Africa,55386000.0,Africa,335085300000.0,51.3,3.3041994195841813,23.50609,6050.0
ZMB,Zambia,15879000.0,Africa,25088820000.0,44.4,0.8391670928210427,,1580.0
ZWE,Zimbabwe,13815000.0,Africa,17683200000.0,33.8,1.0027336493108536,7.2,1280.0
